Order_ID,Order_Date,Customer,Product,Category,Region,Quantity,Sales,Discount,Profit
ORD-1033,2024-09-04,Starlight Media,Gaming Monitor 240Hz,Electronics,South,4,2396.00,0.10,540.00
ORD-1034,2024-09-12,Innovate Inc,Electric Height Desk,Furniture,Central,5,3495.00,0.15,680.00
ORD-1035,2024-09-20,Quantum Dynamics,Workstation GPU RTX4090,Technology,North,2,9800.00,0.00,2850.00
ORD-1036,2024-09-29,Vertex Global,Label Maker Industrial,Office Supplies,East,6,540.00,0.05,150.00
ORD-1037,2024-10-06,BlueWave Energy,Steelcase Gesture Chair,Furniture,South,3,3897.00,0.10,870.00
ORD-1038,2024-10-14,Aura Retail,Studio Display 27,Technology,West,2,3198.00,0.05,790.00
ORD-1039,2024-10-22,Zenith Logistics,Barcode Scanner Wireless,Electronics,Central,12,1440.00,0.10,340.00
ORD-1040,2024-10-30,Pulse Health,Sanitizer Dispenser 10pk,Office Supplies,North,20,600.00,0.05,180.00
ORD-1041,2024-11-05,CyberCloud LLC,Synology NAS Storage 8Bay,Technology,East,2,4200.00,0.05,1080.00
ORD-1042,2024-11-12,Horizon Ventures,Acoustic Privacy Panel,Furniture,West,10,2500.00,0.15,550.00
ORD-1043,2024-11-19,Acme Corp,Thunderbolt 4 Hub,Electronics,North,8,2240.00,0.05,580.00
ORD-1044,2024-11-26,Apex Systems,Laser Pointer Pro,Office Supplies,West,22,440.00,0.00,130.00
ORD-1045,2024-12-03,Global Tech,Mac Studio M2 Ultra,Technology,East,1,4499.00,0.05,1150.00
ORD-1046,2024-12-10,Nexus Labs,Executive Wooden Desk,Furniture,North,2,4600.00,0.12,890.00
ORD-1047,2024-12-17,Starlight Media,Sony A7 IV Camera Kit,Electronics,South,2,5798.00,0.05,1420.00
ORD-1048,2024-12-24,Innovate Inc,Color Toner Set 4pk,Office Supplies,Central,8,1200.00,0.10,310.00
ORD-1049,2025-01-08,Quantum Dynamics,Nvidia A100 Tensor Cloud,Technology,North,1,14500.00,0.02,4800.00
ORD-1050,2025-01-16,Vertex Global,Air Purifier Pro,Electronics,East,5,1995.00,0.08,460.00
ORD-1051,2025-01-24,BlueWave Energy,Bookcase 5-Tier Oak,Furniture,South,4,1360.00,0.10,280.00
ORD-1052,2025-02-02,Aura Retail,Binder Clips Jumbo Box,Office Supplies,West,35,175.00,0.00,52.00
ORD-1053,2025-02-10,Zenith Logistics,Thermal Receipt Printer,Electronics,Central,6,1140.00,0.05,290.00
ORD-1054,2025-02-18,Pulse Health,Medical Grade Tablet,Technology,North,3,3297.00,0.05,820.00
ORD-1055,2025-02-26,CyberCloud LLC,Herman Miller Aeron,Furniture,East,4,5580.00,0.10,1350.00
ORD-1056,2025-03-05,Horizon Ventures,Ergonomic Footrest,Office Supplies,West,18,720.00,0.05,210.00
ORD-1057,2025-03-14,Acme Corp,Sony WH-1000XM5,Electronics,North,9,3591.00,0.08,920.00
ORD-1058,2025-03-22,Apex Systems,Fiber Optic Switch 24P,Technology,West,2,3800.00,0.05,980.00
ORD-1059,2025-03-30,Global Tech,Modular Lounge Seating,Furniture,East,1,2800.00,0.15,460.00
ORD-1060,2025-04-08,Nexus Labs,Heavy Punch 3-Hole,Office Supplies,North,12,360.00,0.00,105.00
ORD-1061,2025-04-16,Starlight Media,4K OLED Pro Monitor,Electronics,South,3,4497.00,0.05,1150.00
ORD-1062,2025-04-24,Innovate Inc,Core i9 Workstation,Technology,Central,2,6200.00,0.05,1600.00
ORD-1063,2025-05-02,Quantum Dynamics,Mobile Glass Whiteboard,Furniture,North,3,1785.00,0.10,390.00
ORD-1064,2025-05-11,Vertex Global,Desk Organizer Mesh,Office Supplies,East,28,420.00,0.00,126.00
ORD-1065,2025-05-19,BlueWave Energy,Conference Speakerphone,Electronics,South,6,1794.00,0.05,440.00
ORD-1066,2025-05-28,Aura Retail,Dell PowerEdge Server,Technology,West,1,8500.00,0.08,2300.00
ORD-1067,2025-06-05,Zenith Logistics,Steel Storage Cabinet,Furniture,Central,3,1650.00,0.10,330.00
ORD-1068,2025-06-14,Pulse Health,Laser Barcode Gun,Electronics,North,10,1500.00,0.05,375.00
ORD-1069,2025-06-22,CyberCloud LLC,Dry Erase Markers 50pk,Office Supplies,East,20,300.00,0.00,90.00
ORD-1070,2025-07-01,Horizon Ventures,Surface Laptop Studio,Technology,West,3,5997.00,0.05,1480.00
ORD-1071,2025-07-09,Acme Corp,Office Partitions 4pk,Furniture,North,2,2400.00,0.12,490.00
ORD-1072,2025-07-18,Apex Systems,UPS Battery Backup 1500VA,Electronics,West,7,1743.00,0.08,390.00
ORD-1073,2025-07-27,Global Tech,Ballpoint Pens 100pk,Office Supplies,East,15,225.00,0.00,68.00
ORD-1074,2025-08-04,Nexus Labs,Dual Xeon Server Node,Technology,North,1,11200.00,0.05,3100.00
ORD-1075,2025-08-12,Starlight Media,Drafting Chair Adjustable,Furniture,South,4,1560.00,0.10,340.00
ORD-1076,2025-08-21,Innovate Inc,Streaming Mic Podcast,Electronics,Central,8,1192.00,0.05,310.00
ORD-1077,2025-08-30,Quantum Dynamics,Thermal Laminator A3,Office Supplies,North,5,450.00,0.05,120.00
ORD-1078,2025-09-07,Vertex Global,Apple Studio Mac Mini,Technology,East,4,3196.00,0.05,780.00
ORD-1079,2025-09-16,BlueWave Energy,Executive Swivel Chair,Furniture,South,5,2475.00,0.10,510.00
ORD-1080,2025-09-25,Aura Retail,Wireless Keypad Numpad,Electronics,West,16,640.00,0.00,192.00
ORD-1081,2025-10-03,Zenith Logistics,Filing Folders 200pk,Office Supplies,Central,25,375.00,0.00,112.00
ORD-1082,2025-10-12,Pulse Health,Smart Clinical Monitor,Technology,North,2,6800.00,0.05,1750.00
ORD-1083,2025-10-20,CyberCloud LLC,Sit-to-Stand Converter,Furniture,East,6,1794.00,0.10,390.00
ORD-1084,2025-10-29,Horizon Ventures,Webcam Privacy Cover 50pk,Office Supplies,West,30,150.00,0.00,45.00
ORD-1085,2025-11-06,Acme Corp,Logitech MX Master 3S,Electronics,North,14,1386.00,0.05,380.00
ORD-1086,2025-11-15,Apex Systems,Apple Pro Display XDR,Technology,West,1,5999.00,0.00,1650.00
ORD-1087,2025-11-23,Global Tech,Solid Oak Conference Desk,Furniture,East,1,4100.00,0.15,720.00
ORD-1088,2025-12-02,Nexus Labs,Calculators Scientific 10pk,Office Supplies,North,10,350.00,0.00,105.00
ORD-1089,2025-12-10,Starlight Media,Elgato Stream Deck XL,Electronics,South,5,1245.00,0.05,320.00
ORD-1090,2025-12-19,Innovate Inc,AI Edge Computing Box,Technology,Central,2,7400.00,0.06,1920.00
ORD-1091,2025-12-28,Quantum Dynamics,Premium Corner Desk,Furniture,North,2,2798.00,0.10,580.00
ORD-1092,2026-01-07,Vertex Global,HDMI 2.1 Optical Cable 10pk,Electronics,East,12,480.00,0.00,144.00
ORD-1093,2026-01-15,BlueWave Energy,Staple Cartridges Bulk,Office Supplies,South,20,200.00,0.00,60.00
ORD-1094,2026-01-24,Aura Retail,iPad Mini 64GB,Technology,West,5,2495.00,0.05,580.00
ORD-1095,2026-02-02,Zenith Logistics,Ergonomic Drafting Stool,Furniture,Central,4,1120.00,0.10,240.00
ORD-1096,2026-02-11,Pulse Health,Noise Filter Headset,Electronics,North,9,1611.00,0.05,420.00
ORD-1097,2026-02-20,CyberCloud LLC,Heavy Duty Utility Cart,Furniture,East,3,897.00,0.08,190.00
ORD-1098,2026-03-01,Horizon Ventures,Cisco Catalyst PoE Switch,Technology,West,2,6400.00,0.05,1720.00
ORD-1099,2026-03-10,Acme Corp,Desk Mat Extra Large,Office Supplies,North,25,625.00,0.00,187.00
ORD-1100,2026-03-19,Quantum Dynamics,Special Enterprise AI Server,Technology,North,1,28500.00,0.00,8900.00
