Order_ID,Order_Date,Customer,Product,Category,Region,Quantity,Sales,Discount,Profit
ORD-1033,2024-09-04,Starlight Media,Gaming Monitor 240Hz,Electronics,South,4,2396.00,0.10,540.00
ORD-1034,2024-09-12,Innovate Inc,Electric Height Desk,Furniture,Central,5,3495.00,0.15,680.00
ORD-1035,2024-09-20,Quantum Dynamics,Workstation GPU RTX4090,Technology,North,2,9800.00,0.00,2850.00
ORD-1036,2024-09-29,Vertex Global,Label Maker Industrial,Office Supplies,East,6,540.00,0.05,150.00
ORD-1037,2024-10-06,BlueWave Energy,Steelcase Gesture Chair,Furniture,South,3,3897.00,0.10,870.00
ORD-1038,2024-10-14,Aura Retail,Studio Display 27,Technology,West,2,3198.00,0.05,790.00
ORD-1039,2024-10-22,Zenith Logistics,Barcode Scanner Wireless,Electronics,Central,12,1440.00,0.10,340.00
ORD-1040,2024-10-30,Pulse Health,Sanitizer Dispenser 10pk,Office Supplies,North,20,600.00,0.05,180.00
ORD-1041,2024-11-05,CyberCloud LLC,Synology NAS Storage 8Bay,Technology,East,2,4200.00,0.05,1080.00
ORD-1042,2024-11-12,Horizon Ventures,Acoustic Privacy Panel,Furniture,West,10,2500.00,0.15,550.00
ORD-1043,2024-11-19,Acme Corp,Thunderbolt 4 Hub,Electronics,North,8,2240.00,0.05,580.00
ORD-1044,2024-11-26,Apex Systems,Laser Pointer Pro,Office Supplies,West,22,440.00,0.00,130.00
ORD-1045,2024-12-03,Global Tech,Mac Studio M2 Ultra,Technology,East,1,4499.00,0.05,1150.00
ORD-1046,2024-12-10,Nexus Labs,Executive Wooden Desk,Furniture,North,2,4600.00,0.12,890.00
ORD-1047,2024-12-17,Starlight Media,Sony A7 IV Camera Kit,Electronics,South,2,5798.00,0.05,1420.00
ORD-1048,2024-12-24,Innovate Inc,Color Toner Set 4pk,Office Supplies,Central,8,1200.00,0.10,310.00
ORD-1049,2025-01-08,Quantum Dynamics,Nvidia A100 Tensor Cloud,Technology,North,1,14500.00,0.02,4800.00
ORD-1050,2025-01-16,Vertex Global,Air Purifier Pro,Electronics,East,5,1995.00,0.08,460.00
ORD-1051,2025-01-24,BlueWave Energy,Bookcase 5-Tier Oak,Furniture,South,4,1360.00,0.10,280.00
ORD-1052,2025-02-02,Aura Retail,Binder Clips Jumbo Box,Office Supplies,West,35,175.00,0.00,52.00
ORD-1053,2025-02-10,Zenith Logistics,Thermal Receipt Printer,Electronics,Central,6,1140.00,0.05,290.00
ORD-1054,2025-02-18,Pulse Health,Medical Grade Tablet,Technology,North,3,3297.00,0.05,820.00
ORD-1055,2025-02-26,CyberCloud LLC,Herman Miller Aeron,Furniture,East,4,5580.00,0.10,1350.00
ORD-1056,2025-03-05,Horizon Ventures,Ergonomic Footrest,Office Supplies,West,18,720.00,0.05,210.00
ORD-1057,2025-03-14,Acme Corp,Sony WH-1000XM5,Electronics,North,9,3591.00,0.08,920.00
ORD-1058,2025-03-22,Apex Systems,Fiber Optic Switch 24P,Technology,West,2,3800.00,0.05,980.00
ORD-1059,2025-03-30,Global Tech,Modular Lounge Seating,Furniture,East,1,2800.00,0.15,460.00
ORD-1060,2025-04-08,Nexus Labs,Heavy Punch 3-Hole,Office Supplies,North,12,360.00,0.00,105.00
ORD-1100,2026-03-19,Quantum Dynamics,Special Enterprise AI Server,Technology,North,1,28500.00,0.00,8900.00
